id;title;description;availability;product_type;google_product_category;condition;price;link;image_link;brand;sale_price;mpn
7411;"Tub mic cu 1 buc de Periuta mascara glitter,  cadou pentru clientii tai - Roz deschis";"Periuta mascara vine in tub protectiv si se vinde individual, glitter";475;"Shop>Accessories>Brushes & Applicators";469;new;"3.00 RON";https://pinklashes.ro/en/brushes-applicators/1-pcs-mascara-in-small-tube-gift-for-your-clients-light-pink.html;https://https://pinklashes.ro/31207-large_default/1-pcs-mascara-in-small-tube-gift-for-your-clients-light-pink.jpg;35003;"3.00 RON";35003
7412;"Paleta, suport pentru extensii de gene, Acrylic, 7-15mm";;16;"Shop>Accessories>Glue & Lash Holders";469;new;"25.00 RON";https://pinklashes.ro/en/glue-lash-holders/acrylic-palette-support-for-eyelash-extensions-7-15mm.html;https://https://pinklashes.ro/31212-large_default/acrylic-palette-support-for-eyelash-extensions-7-15mm.jpg;17430;"25.00 RON";17430
7413;"Paleta de silicon pentru frunte, suport pentru extensii gene";"Paleta de silicon pentru frunte este un accesoriu indragit de lash artisti. Ambele parti sunt lipicioase, pe o parte aplici liniile de gene, dupa accea, pui paleta de silicon pe fruntea clientei, ori pe mana sau unde iti este tie comod si cum esti obisnuita sa lucrezi. Recomandarea noastra este ca inainte sa pui paleta pe fruntea clientei, datorita faptului ca este lipicioasa, sa pui un servetel, iar apoi paleta.";62;"Shop>Accessories>Glue & Lash Holders";469;new;"7.50 RON";https://pinklashes.ro/en/glue-lash-holders/silicon-support-pad-for-the-head-silicone-support-for-eyelash-extensions.html;https://https://pinklashes.ro/31225-large_default/silicon-support-pad-for-the-head-silicone-support-for-eyelash-extensions.jpg;85678;"7.50 RON";85678
7414;"Paleta dubla cu piatra jad, suport pentru extensii gene, 7-15mm, cu loc special pentru piatra jad, Acrylic";"Este o paleta dubla, unde poți așeza lungimi între 7 mm și 15 mm. In plus, paleta este prevăzută cu un loc special pentru piatra jad care este inclusă în acest pachet. • Dimensiuni 13x13 cm. • Transparenta cu marcaje.";87;"Shop>Accessories>Glue & Lash Holders";469;new;"39.90 RON";https://pinklashes.ro/en/glue-lash-holders/double-palette-with-jade-stone-support-for-eyelash-extensions-7-15mm-with-special-place-for-jade-stone-acrylic.html;https://https://pinklashes.ro/31224-large_default/double-palette-with-jade-stone-support-for-eyelash-extensions-7-15mm-with-special-place-for-jade-stone-acrylic.jpg;59587;"39.90 RON";59587
7415;"Recipient depozitare adezivi in vid, cu 3 camere individuale, cutie depozitare pentru lipici extensii gene";"Cu aceasta cutie de depozitare puteti sa păstrați in conditii optime si sa reduceți posibilitatea de întărire a adezivului Prin sistemul de sigilare in vid al acestei cutii puteti imbunătățiți în mod eficient timpul de depozitare a adezivului.";0;"Shop>Glues & Liquids>Adhesives";469;new;"30.00 RON";https://pinklashes.ro/en/glue-lash-holders/vacuum-storage-container-with-3-individual-chambers-storage-box-for-eyelash-extension-glue.html;https://https://pinklashes.ro/31228-large_default/vacuum-storage-container-with-3-individual-chambers-storage-box-for-eyelash-extension-glue.jpg;30597;"30.00 RON";30597
7416;"Inel cu separator  Roz pentru adeziv, pentru extensii gene, Set 10 buc.";"Este perfect atat pentru incepatori, cat si pentru profesionisti.
• Prevazut cu 2 spatii separate pentru adeziv• Dimensiuni: 1.6 x 2.4 cm";51;"Shop>Accessories>Glue & Lash Holders";469;new;"12.00 RON";https://pinklashes.ro/en/glue-lash-holders/round-ring-for-glue-2-spaces-10-pcs.html;https://https://pinklashes.ro/31236-large_default/round-ring-for-glue-2-spaces-10-pcs.jpg;03949;"12.00 RON";03949
7417;"Inel Inimioara pentru adeziv extensii gene, Set 10 buc. - Roz deschis";"Este perfect atat pentru incepatori, cat si pentru profesionisti.
• Prevazut cu 2 spatii separate pentru adeziv• 10 fante pentru extensiile de gene• Dimensiuni: 1.3 x 2.3 cm
";28;"Shop>Accessories>Glue & Lash Holders";469;new;"16.00 RON";https://pinklashes.ro/en/glue-lash-holders/heart-glue-ring-for-eyelash-extensions-10-pcs.html;https://https://pinklashes.ro/31238-large_default/heart-glue-ring-for-eyelash-extensions-10-pcs.jpg;49844;"16.00 RON";49844
7418;"Inel Alb pentru adeziv, pentru extensii gene, Set 10 buc.";"Este perfect atât pentru începători, cât și pentru profesioniști.
• Dimensiuni: 1,2 x 2,2 cm• Inel de unică folosință";0;"Shop>Accessories>Glue & Lash Holders";469;new;"10.00 RON";https://pinklashes.ro/en/glue-lash-holders/10-pcs-white-glue-ring-for-eyelash-extensions.html;https://https://pinklashes.ro/31240-large_default/10-pcs-white-glue-ring-for-eyelash-extensions.jpg;03235;"10.00 RON";03235
7419;"Inel Crystal pentru adeziv pentru extensii gene, Reutilizabil";"Păstrează o temperatură adecvată pentru adeziv și este ideal pentru a scurta durata de aplicare a genelor. 29• Este reutilizabil (necesita o curatare simpla dupa folosire)• Intre utilizari se poate pastra in cutia Roz inclusa • Dimensiune: 2,5 x 3 cm";29;"Shop>Accessories>Glue & Lash Holders";469;new;"9.00 RON";https://pinklashes.ro/en/glue-lash-holders/crystal-ring-for-eyelash-extension-glue-reusable.html;https://https://pinklashes.ro/31241-large_default/crystal-ring-for-eyelash-extension-glue-reusable.jpg;75025;"9.00 RON";75025
7420;"Masca pentru practica, manechin cu loc pentru suport adeziv si capac anti-praf";"Exerseaza aplicarea extensiilor de gene cu un produs nou si inovativ. Acesta este mic, nu ocupa spatiu, si pe el poti aseza atat genele de exercitiu, cat si lipiciul pentru gene si benzile pe care le vei folosi";943;"Shop>Accessories>Others Accessories";469;new;"14.99 RON";https://pinklashes.ro/en/others-accessories/practice-mask-mannequin-with-place-for-adhesive-holder-and-dust-cover.html;https://https://pinklashes.ro/31243-large_default/practice-mask-mannequin-with-place-for-adhesive-holder-and-dust-cover.jpg;19632;"14.99 RON";19632
7421;"Set Spuma de curățare gene, în punga de cadou, Lash Shampoo";"Fă un cadou frumos clienților tăi
Punga cadou Roz contine:• Șampon pentru gene Lash Shampoo• Perie de rimel• Perie pentru gene";135;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"35.00 RON";https://pinklashes.ro/en/liquids-removers/lash-foam-set-in-pink-gift-bag-lash-shampoo.html;https://https://pinklashes.ro/31247-large_default/lash-foam-set-in-pink-gift-bag-lash-shampoo.jpg;37849;"35.00 RON";37849
7422;"Set Spuma After-care set Trolley, Lash foam - cadou pentru clienți tai";"Fă un cadou frumos clienților tăi
Setul Trolley contine:• Șampon pentru gene Lash Shampoo• Perie de rimel• Perie pentru gene";26;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"39.90 RON";https://pinklashes.ro/en/glues-liquids-/lash-shampoo-set-after-care-trolley-make-it-gift-for-your-clients.html;https://https://pinklashes.ro/31251-large_default/lash-shampoo-set-after-care-trolley-make-it-gift-for-your-clients.jpg;64179;"39.90 RON";64179
